LES MOTS EN PEUL;LA TRADUCTION EN FRANÇAIS;CATEGORIE GRAMMATICALE
  wa'du;alliance ;U
 cafrugal;puisette;PPS
 cazawje;lèpres;NCS
 Mavvaare; idiotie;PPS
 Mavviizo; idiot;PPS
 Malaajo;indocile, insoumis, désobéissant, vaurien;NCS
 Minin;nous;PRIP
 Moostaago;glisser// tarder, trainer// être indiscret, irrespectueux;VIM
 Moostugo;faire glisser ;VIA
 Muudoore;mesure de capacites pour les grains;U
 Naalootirgo;se maudir mutuelllement;VIA
 Reentaago;se garder de, se tenir à l'ecart, se protéger, s'abstenir;VIM
 saanindirgo;se saluer, echanger des salutations;VIA
 saqngizgo;ne pas être convenable;VIA
 tokora;homonyme;U
 yooyo;lamentation funèbre, pleurs;PPS
a;tu;PRPSS
a ' a ;non// marque d'impatience ou de surprise;I
aatgo;crier, faire du bruit;VIA
aaftaago;être tendu, étiré;VIM
aaftugo;tendre, étirer;VIA
aahaago;être d'âge mûr (de 40 à 60 ans);VIM
aahaaku;âge mûr, maturité de l'âge;PPS
aahi'en;hommes d'âge mûr;NCP
aahiijo;homme d'âge mûr;NCS
aaji;surnom donné à un enfant né le jour de la fete de mouton ;NP
aalaago;ecarter un malheur;VIM
aalaanaago;faire pour quelqu'un une protection magique contre le mal;VIM
aalaatu;charme;NCS
aalamji;toute la création, ciel et terre;NCP
aalo'en;la grande famille du prophete;NCP
aaloojo;famille du prophete;NCS
aamina;amen;U
aaraago;être fermé;VIM
aargo;fermer;VIA
aartugo;desserrer;VIA
aas'aastugo;avancer par à-coups// travailler par à-coups;VIA
aatilleejo;indolent;NCS
aatille'en;indolent;NCP
aawlitaago;se mettre à crier;VIM
aaya;verset du coran;U
aayaaje;versets du coran;U
abadaa;toujours;AVT
abadaaje;pagnes imprimées ;NCP
abadaare;pagne imprimée ;NCS
abadaawol;coupon de tissu imprimé;NCS
abajada;aphabet arabe;U
abakar;nom d'un homme donné au 2ème garçon ;NP
abaakuru;tourteau d'arachide ;U
abakuruuji;tourteaux d'arachide ;U
abaley;singe rouge ;NCS
abaleyji;singes rouges;NCP
abaleyru;singe rouge ;NCS
abba;père;NCS
abba'en;pères;NCP
abbo;surnom;NP
abdu;nom propre d'un homme;NP
abuga;salutation speciale;U
abuko;feuille de gombo;NCS
abukooji;feuilles de gombo;NCP
accango;laisser à;VIA
accidgo;laisser ensemble//laisser complétement;VIA
accindirgo;se quitter;VIA
accindirki;separation mutuelle;PPS
accitaago;laisser de nouveau;VIM
accugo;laisser, quitter;VIA
acummbaaji;poules de rocher;NCP
acummbaaru;poule de rocher;NCS
adadaaji;abris rectangulaires, aux mûrs de terre, couverts de pailles;NCP
adadawa;abri rectangulaire, aux mûrs de terre, couvert de paille;NCS
adango;"porter; transporter pour";VIA
adda;sœur ainée;NCS
addaawa;nom de femme;NP
adda'en;sœurs ainées;NCP
addahi;machette;NCS
addilaaje;ballots;NCP
addilaare;ballot;NCS
addiraave;sœurs ainées;NCP
addiraawo;sœur ainee;NCS
adgo;porter;VIA
aadi;coutume;NCS
aadiiji;coutumes;NCP
adikkooji;mouchoirs de tête;NCP
adikkoyel;mouchoir de tete;NCS
adilaaku;honneteté;PPS
adilango;être juste envers quelqu'un;VIA
adilgo;être juste;VIA
adili'en;justes;PPP
adiliijo;juste;PPS
adoove;porteurs;PPP
adoowo;porteur;PPS
adune;foule;U
aduwoyji;grenouilles;NCP
aduwoyru;grenouille;NCS
afaago;enfanter pour la premiere fois;VIM
afve;premiers nés;PPP
afel;premier né;PPS
afo;premier né;PPS
afon;premiers nés;PPP
afrannga;tunique à col montant et manches longues à poignets;U
agalata;formidable;I
agaldawaaje;insectes ailés;NCP
agaldawaare;insecte ailé;NCS
agari;attente de ce qui va arriver;U
agasayje;ânes à pelage gris;NCP
agasayre;âne à pelage gris;NCS
aggo;presser//coincer;VIA
ago;important;ID
agodaaje;petites cuvettes de fer blanc;NCP
agoda;petite cuvette de fer blanc;NCS
agoogo;reveil;U
agoogooji;reveils;U
agugumje;coqs;NCP
agugumri;coq;NCS
agulaajo;gaucher;NCS
agulaaku;etat de celui qui est gaucher;NCS
aguugu;fougère male ;U
agwa;canon//obus;U
ahooy ahooy;interjection pour appeler les vaches ;I
ajabaaji;cases de femme libre;NCP
ajabaajo;femme libre// prostituée;NCS
ajabaaku;veuvage//prostitution;NCS
ajabaaru;case de femme libre;NCS
ajaba'en;femmes libre//prostituées;NCP
ajabnaago;n'avoir plus de mari//être prostituée;VIM
ajabu;chose etonnante//étonnement;U
ajagama;variète de sorgho repiqué ;U
ajagamaari;variète de sorgho repiqué ;NCS
ajakooje;rhizomes comestibles;NCP
ajakoore;rhizome comestible;NCS
ajamiina;entierement;U
ajamiiya;texte imprimé en caracteres arabes ou latins;U
ajamiiyaaje;textes imprimés en caracteres arabes ou latins;NCP
ajiya;representant du sultan ;NCS
ajiyaajo;representant du sultan ;NCS
ajiya'en;representant du sultan ;NCP
akaawu;commis, secretaire;U
akaawu'en;commis, secretaires;NCP
akaawuku;fonction de commis;NCS
akiri;location;U
akirnaago;louer;VIM
